name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barb.,Argentina,Armenia,Aruba,Ashmore and Cartier Is.,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Br. Indian Ocean Ter.,Brazil,British Virgin Is.,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Is.,Central African Rep.,Chad,Chile,China,Colombia,Comoros,Congo,Cook Is.,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d'Ivoire,Dem. Rep. Congo,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,Egypt,El Salvador,Eq. Guinea,Eritrea,Estonia,Ethiopia,Faeroe Is.,Falkland Is.,Fiji,Finland,Fr. Polynesia,Fr. S. Antarctic Lands,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard I. and McDonald Is.,Honduras,Hong Kong,Hungary,Iceland,India,Indian Ocean Ter.,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Is.,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,N. Cyprus,N. Mariana Is.,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Is.,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,S. Geo. and the Is.,S. Sudan,Saint Helena,Saint Lucia,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Siachen Glacier,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Is.,Somalia,Somaliland,South Africa,South Korea,Spain,Sri Lanka,St-Barthélemy,St-Martin,St. Kitts and Nevis,St. Pierre and Miquelon,St. Vin. and Gren.,Sudan,Suriname,Sweden,Switzerland,Syria,São Tomé and Principe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Is.,U.S. Virgin Is.,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,W. Sahara,Wallis and Futuna Is.,Yemen,Zambia,Zimbabwe,eSwatini,Åland
Belize,73,6,79,33,7,68,84,29,99,12,50,61,42,95,55,33,8,52,31,34,57,30,0,0,80,19,66,8,42,38,82,56,43,17,75,84,92,26,18,5,15,65,73,60,17,89,30,77,6,89,47,39,51,89,13,42,65,12,7,59,72,71,51,86,88,54,55,12,79,35,90,47,34,53,19,98,48,89,10,63,89,31,78,19,95,32,94,30,73,13,25,25,84,44,73,37,31,16,64,46,12,4,87,93,10,74,48,69,84,87,62,95,42,16,52,17,39,81,41,14,4,43,18,67,48,28,63,31,53,15,49,61,69,88,85,85,64,50,40,59,64,53,5,45,50,92,37,4,49,17,66,39,81,14,11,21,51,50,24,16,72,76,81,76,54,47,4,77,79,86,71,60,51,68,11,31,5,9,77,39,85,71,81,18,87,50,25,17,77,36,25,96,56,96,52,88,82,73,87,40,25,67,34,77,34,94,89,94,60,53,26,52,22,98,68,73,4,54,67,90,49,35,26,46,29,91,48,3,88,39,56,38,89,55,82,34,63,76,65,32,24
Benin,49,1,57,28,81,8,26,86,1,39,55,72,67,66,89,49,10,99,71,5,8,17,38,0,79,25,44,9,57,0,80,61,70,68,56,16,4,73,15,28,41,75,11,99,15,2,75,61,39,13,24,52,88,69,53,51,14,51,34,64,56,33,68,3,53,62,20,71,70,19,14,1,24,69,62,45,33,46,18,30,23,51,94,72,28,89,73,59,24,84,77,29,18,74,58,79,19,55,7,31,40,79,84,0,87,38,2,96,41,48,58,84,4,24,93,66,68,4,49,74,23,73,99,6,17,5,82,93,15,86,79,42,55,99,50,44,30,47,55,47,30,61,54,99,58,25,6,12,63,64,66,72,95,8,50,45,18,36,42,32,57,47,8,50,84,85,41,33,6,49,21,38,15,62,97,96,11,30,50,54,45,84,20,88,70,47,31,93,18,81,71,39,75,25,9,77,68,5,47,9,11,21,55,2,8,14,77,63,55,39,90,62,5,77,80,93,41,21,2,84,79,30,40,16,60,88,59,17,60,59,16,76,24,47,62,32,0,65,60,78,80
Bermuda,83,35,29,66,77,38,84,66,52,27,85,41,32,87,18,74,76,30,5,57,80,70,31,11,0,35,92,15,19,7,4,13,2,37,17,44,78,1,82,63,73,46,15,49,16,17,2,84,1,52,31,83,42,16,81,1,11,28,88,78,24,7,49,28,73,74,3,30,85,37,15,23,44,26,93,60,3,86,87,74,3,63,14,98,56,96,43,68,62,24,97,41,30,53,76,34,73,51,10,51,19,18,43,18,19,28,82,67,1,66,40,63,88,2,94,35,92,81,23,87,99,90,78,97,62,92,15,67,73,95,34,50,26,58,85,31,16,64,45,70,99,20,46,90,57,25,32,15,0,96,70,49,32,21,68,12,23,12,38,25,2,85,90,32,39,89,99,26,49,69,17,92,83,59,41,82,64,58,70,20,84,61,86,40,68,56,68,53,67,96,47,91,43,83,38,96,99,10,77,7,32,59,14,8,64,47,67,6,59,24,38,12,33,57,40,48,77,54,38,38,51,49,6,78,77,45,52,38,71,31,36,72,28,64,51,91,22,96,1,43,65
Bhutan,37,35,31,81,49,26,83,4,96,13,21,43,59,44,85,54,27,46,62,24,23,12,63,66,70,0,96,36,68,32,77,23,17,50,55,32,77,25,42,51,40,80,48,54,47,46,96,47,37,3,29,94,6,8,76,40,26,45,55,97,45,62,25,33,2,7,73,88,15,20,30,66,18,53,75,4,53,88,1,42,78,82,51,56,36,6,33,32,15,24,98,22,69,33,34,69,12,87,50,15,92,58,71,73,30,95,8,33,41,7,32,67,47,98,29,20,39,96,66,37,43,66,24,77,69,25,78,93,66,91,97,28,61,92,69,91,50,44,2,62,48,37,14,35,66,11,24,67,22,58,31,99,55,1,10,60,24,87,17,60,0,40,66,41,90,69,71,50,15,53,87,16,86,34,55,28,94,29,0,54,23,5,11,44,88,6,62,23,63,28,71,43,78,32,92,66,24,0,39,62,15,91,17,69,42,31,58,6,1,72,53,45,63,8,48,31,16,53,34,91,1,29,56,67,13,1,55,20,79,37,75,47,0,40,24,37,90,98,42,71,99
Bolivia,14,52,88,88,44,16,16,18,58,1,79,22,67,57,23,78,66,63,20,49,1,53,0,96,96,38,0,85,88,1,99,66,85,9,33,7,95,40,8,83,82,11,85,7,6,37,4,65,76,10,84,4,23,4,5,91,15,27,47,29,21,36,54,79,42,29,76,90,77,42,77,87,5,29,31,38,45,57,9,9,20,41,56,15,92,15,42,74,44,7,88,16,1,58,94,28,70,45,49,23,80,87,18,86,2,73,92,96,74,25,2,31,6,31,35,86,43,32,65,49,22,19,12,10,91,83,19,47,54,67,81,40,72,31,48,29,48,92,13,21,41,45,69,3,21,46,39,79,47,57,91,86,71,91,87,21,18,10,3,61,0,47,66,8,70,4,39,54,70,83,69,16,89,73,33,68,13,52,96,40,56,6,41,70,1,45,99,4,66,12,93,60,54,30,86,31,26,29,59,48,73,83,29,15,47,30,77,68,74,2,81,45,51,64,73,68,97,66,92,71,84,79,75,97,18,58,55,42,22,37,85,2,85,6,30,98,80,80,63,29,71
Bosnia and Herz.,57,77,87,81,59,36,82,39,38,4,86,29,8,3,98,17,83,51,77,23,85,98,11,93,75,63,1,0,63,19,6,64,59,6,99,35,15,24,54,43,79,14,90,76,72,21,53,1,92,9,61,8,63,57,69,77,23,83,4,23,62,47,89,85,64,48,28,99,97,81,12,58,71,47,14,69,31,69,48,78,28,49,59,34,80,71,14,91,11,13,47,59,8,32,60,1,66,15,89,0,51,65,56,76,38,78,20,66,60,73,89,70,45,9,73,44,77,37,86,48,48,0,45,40,70,48,45,84,20,84,46,53,16,17,19,31,37,54,91,56,16,37,22,73,82,3,47,33,3,0,54,60,32,39,33,9,45,21,13,89,49,17,3,96,7,49,60,66,64,83,38,4,90,77,71,91,56,97,0,66,91,52,34,85,51,65,38,73,43,76,0,44,29,17,24,65,67,98,80,31,41,10,61,90,45,44,81,46,57,30,19,79,12,24,60,5,59,35,61,50,83,29,70,80,68,82,86,89,96,44,37,12,73,31,7,28,16,90,63,55,72
Botswana,80,58,77,91,33,46,42,23,86,96,23,98,13,58,16,92,87,24,56,1,80,49,5,73,62,65,62,37,0,19,98,85,16,74,8,93,15,63,88,0,38,24,64,54,62,69,95,86,60,76,50,23,49,2,78,50,37,88,42,53,42,64,62,41,34,69,93,36,20,43,61,18,83,40,75,42,65,21,8,11,79,16,9,87,87,48,61,88,49,54,7,71,73,53,79,8,39,75,51,11,17,26,62,82,60,17,75,18,55,8,15,71,18,25,79,14,60,48,41,97,9,87,1,50,10,25,65,55,20,14,44,76,72,78,51,57,51,8,94,86,69,65,88,16,37,3,81,50,73,70,97,39,8,47,23,77,28,16,48,59,54,35,30,58,12,2,26,40,90,56,47,31,98,54,52,9,33,47,22,22,7,23,72,38,73,83,95,69,85,52,73,72,8,16,45,6,8,21,40,5,47,46,59,95,77,71,70,4,81,59,58,15,92,98,69,26,58,17,75,51,26,82,59,8,44,18,9,83,53,31,67,21,88,39,37,83,3,64,42,86,18
Br. Indian Ocean Ter.,29,37,66,30,4,57,67,5,40,72,89,17,18,90,40,94,92,11,76,0,50,62,5,20,31,28,63,91,76,0,91,78,83,40,44,66,4,86,33,53,52,35,70,12,86,86,0,24,85,45,84,36,19,99,85,9,26,40,34,15,70,97,41,10,56,55,54,98,40,54,78,26,85,19,61,95,53,48,15,92,62,28,76,56,84,21,93,53,45,60,54,60,35,14,21,15,19,93,74,23,7,47,48,29,31,83,21,49,84,18,57,96,89,98,31,10,73,32,36,29,53,5,13,76,65,19,76,51,16,13,41,89,83,52,3,52,27,12,48,19,95,73,89,98,2,80,49,4,65,38,71,71,3,66,1,11,88,54,58,6,21,92,1,88,24,76,46,72,7,59,9,83,95,61,29,26,25,91,90,79,54,31,99,72,19,20,13,54,10,11,6,99,13,96,69,27,19,27,54,49,67,22,67,25,28,2,84,85,83,40,24,58,49,16,55,13,92,73,82,97,15,40,69,77,0,42,4,14,11,12,88,3,79,43,9,66,90,56,71,64,53
Brazil,39,26,17,65,0,58,20,3,39,37,85,81,33,69,50,0,74,16,48,34,1,91,1,5,11,46,23,75,76,0,0,38,96,56,13,84,93,62,77,75,80,26,15,46,37,25,10,43,2,33,67,51,50,87,1,97,6,83,26,20,51,32,37,95,96,30,60,86,44,74,63,8,27,11,24,47,7,37,55,83,43,3,46,8,1,39,53,78,52,80,44,96,63,15,61,58,83,69,1,76,88,30,16,65,5,72,81,57,71,22,5,59,21,49,88,40,94,62,96,89,2,98,47,27,1,58,86,23,17,94,98,64,20,89,46,91,64,88,18,53,38,82,56,85,77,76,70,17,79,37,41,54,95,18,50,31,58,18,26,90,3,20,12,88,94,76,97,76,82,26,37,41,44,93,74,7,52,85,40,6,18,8,82,49,19,78,10,87,12,1,16,93,30,54,22,63,13,55,79,69,78,37,70,70,72,2,78,53,58,66,16,53,92,18,2,42,37,75,1,83,55,24,18,28,24,86,38,43,76,38,66,69,33,60,35,30,64,96,24,68,47
British Virgin Is.,74,49,75,38,32,47,78,44,96,51,89,52,22,61,99,78,51,11,11,14,76,5,67,54,58,31,23,49,39,11,53,0,51,14,20,52,17,23,25,52,52,45,12,57,4,71,32,82,21,22,65,98,20,77,79,34,87,30,57,11,31,23,73,43,96,12,60,80,86,79,74,91,16,53,73,29,4,46,81,77,9,16,27,55,98,76,49,74,66,11,6,30,21,93,57,48,68,88,34,41,39,38,63,76,58,74,88,30,50,60,36,14,94,54,83,31,59,48,20,11,9,71,44,51,0,28,21,27,72,37,3,10,23,2,3,80,44,49,3,53,48,62,66,58,80,76,46,87,32,84,58,47,91,83,0,7,31,95,91,0,51,16,19,44,0,86,59,12,1,5,90,13,3,33,78,93,63,93,71,82,43,12,60,63,15,71,2,36,1,48,81,86,98,85,33,36,3,67,90,40,83,16,16,84,97,85,1,35,15,47,57,94,43,65,7,38,14,5,88,44,46,10,10,6,14,58,24,90,47,46,14,24,17,3,91,10,48,79,17,21,1
Brunei,32,15,32,69,24,41,97,11,87,8,75,67,58,78,13,50,53,30,7,50,43,3,1,81,54,68,86,61,24,44,67,50,0,77,78,80,82,38,3,45,21,70,65,30,32,35,69,9,43,76,73,72,33,66,19,25,59,56,79,14,54,86,94,71,46,38,31,44,95,60,12,77,23,41,38,82,17,99,23,42,29,84,90,77,85,48,91,11,75,63,58,82,88,48,87,92,76,54,71,47,42,66,81,57,82,89,52,95,97,86,74,39,49,51,74,38,31,6,67,18,50,34,10,12,17,14,40,24,75,39,54,52,5,4,81,99,38,9,82,90,60,5,37,54,6,69,84,12,69,56,53,22,27,76,53,98,28,96,4,38,50,7,61,48,52,27,53,68,4,96,32,54,95,37,66,24,10,15,40,29,31,6,37,35,58,90,64,69,20,16,20,85,50,57,0,87,35,40,45,21,7,49,13,62,62,89,9,49,48,57,61,58,87,33,77,32,27,12,18,79,61,44,30,10,59,51,64,14,12,32,37,8,61,88,13,55,14,25,64,61,44
Bulgaria,93,31,62,48,61,19,94,94,51,38,11,41,97,11,8,90,85,99,43,92,95,53,35,94,69,89,48,89,99,80,25,27,17,0,91,40,35,76,67,48,2,58,38,92,91,4,3,37,15,81,52,51,91,18,65,51,4,8,31,60,34,61,77,28,82,44,97,89,40,99,70,3,73,27,32,99,78,58,92,8,92,72,30,79,12,42,50,19,5,47,30,26,75,58,89,37,91,5,96,32,94,83,94,62,71,86,90,89,30,27,82,58,77,68,14,27,2,82,52,39,23,28,76,22,74,62,2,26,97,83,69,85,65,57,79,71,16,26,6,56,87,80,4,24,5,89,25,79,72,62,61,42,42,85,0,22,16,75,53,25,7,51,90,66,12,67,35,47,23,86,18,17,12,46,53,5,4,23,93,19,93,91,79,85,40,95,0,38,26,22,36,26,1,69,28,93,4,10,93,65,65,22,46,4,77,10,40,9,72,22,2,48,37,38,95,74,58,77,57,97,69,65,27,10,85,53,35,59,54,97,89,17,0,20,89,82,30,30,35,82,75
Burkina Faso,80,90,48,52,98,86,2,80,59,82,65,73,78,93,11,76,54,17,92,15,81,91,48,99,96,8,49,79,9,5,45,97,32,92,0,46,3,81,34,69,15,51,56,6,60,36,89,62,12,54,63,88,32,24,90,42,50,10,59,83,2,8,73,82,64,9,83,16,29,2,69,48,21,7,37,37,99,39,10,5,57,89,24,82,34,80,62,16,13,69,46,17,97,52,46,80,79,3,37,21,9,22,87,78,72,43,46,88,65,82,33,97,75,80,92,33,92,58,64,19,88,6,18,50,87,82,10,89,0,94,69,36,57,30,48,44,9,46,39,35,42,64,10,32,13,11,32,41,91,41,32,58,28,24,33,22,51,75,71,23,22,83,2,61,72,92,21,64,86,6,0,30,32,40,93,14,58,61,84,85,17,20,80,62,12,25,42,41,45,43,77,27,69,75,17,95,13,46,13,9,27,98,44,66,11,95,46,99,50,27,18,24,82,1,70,61,18,5,62,83,60,3,97,91,55,94,28,50,95,9,75,18,35,26,74,84,7,17,22,86,27
Burundi,33,30,91,58,20,20,73,21,30,98,49,83,46,3,25,12,91,99,54,34,61,71,88,15,56,58,41,95,56,70,25,37,42,52,30,0,33,48,15,73,93,14,71,91,26,44,88,51,77,61,77,44,36,49,7,68,33,89,49,65,36,10,99,84,5,55,23,30,3,19,70,71,14,12,91,31,33,32,77,44,75,96,43,51,44,11,53,96,75,88,14,94,65,4,33,26,3,60,52,6,33,81,91,3,65,6,73,59,22,56,36,94,65,55,5,2,3,33,56,12,25,41,97,39,90,74,83,62,8,78,60,87,73,11,52,63,4,52,5,60,89,37,66,61,94,49,38,17,5,73,69,57,75,75,38,81,29,55,61,18,95,43,76,46,75,97,30,26,14,5,55,46,40,99,46,15,34,55,79,4,34,58,48,60,96,15,96,76,25,6,45,33,43,40,63,81,17,9,37,77,12,19,91,11,52,93,70,4,23,79,87,54,34,79,20,26,77,29,81,26,74,82,54,93,16,8,19,72,64,85,56,22,29,46,69,2,15,7,35,62,49
Cabo Verde,16,28,90,82,30,83,5,10,25,92,18,23,10,24,23,44,83,56,57,53,64,78,40,33,44,13,70,30,47,53,61,32,57,18,28,29,0,64,75,70,58,50,85,86,66,25,62,62,58,44,42,11,78,0,36,89,61,45,91,53,54,21,8,90,30,54,28,73,25,98,66,77,91,84,33,44,13,57,32,11,19,53,31,72,15,68,39,15,70,23,45,74,32,73,0,21,22,37,74,82,91,11,71,97,24,70,54,97,26,99,53,77,36,55,1,53,94,12,10,28,26,73,52,10,33,11,80,39,82,56,26,15,50,56,89,30,42,72,17,42,73,33,14,90,87,77,70,33,98,56,81,95,80,65,20,84,68,83,15,35,75,47,15,52,78,10,45,84,55,79,79,75,14,60,33,87,37,41,12,71,58,36,15,18,53,66,2,14,51,59,8,69,46,30,89,95,15,53,69,33,52,78,4,20,74,91,93,0,16,80,88,80,59,32,1,66,22,96,20,98,60,75,18,75,94,23,12,61,73,6,58,61,78,66,30,56,54,56,68,4,24
Cambodia,10,53,76,28,56,19,25,56,5,64,55,43,86,81,48,21,56,0,58,43,22,84,99,9,28,73,88,70,22,23,66,4,38,0,62,18,24,0,15,31,52,1,90,95,91,32,90,62,1,70,63,74,81,2,49,0,29,81,45,74,89,79,96,20,7,36,1,36,43,63,25,80,22,11,25,7,15,32,61,59,68,18,55,7,66,69,1,90,42,20,56,88,71,66,95,8,90,78,47,84,7,32,28,88,75,4,56,32,52,20,76,20,40,41,45,89,83,28,36,83,57,77,73,3,74,98,38,16,37,78,80,62,35,32,19,51,63,0,26,9,67,94,82,10,62,69,82,18,40,0,7,3,50,13,37,39,66,27,25,78,9,53,36,33,75,64,60,50,55,28,17,31,65,92,41,33,47,80,16,50,2,77,37,13,77,35,29,94,84,47,40,74,93,36,55,72,33,71,62,18,72,3,74,68,73,76,50,8,92,17,34,51,23,38,60,14,50,46,24,45,31,72,99,40,45,72,18,15,12,52,52,93,36,82,61,6,1,96,28,49,27
Cameroon,62,30,19,89,76,75,96,63,6,27,9,88,52,93,61,3,77,37,63,56,88,90,90,58,90,84,59,79,36,97,70,80,98,22,20,90,48,11,0,51,49,23,97,38,33,44,41,93,83,29,51,94,89,56,66,38,21,83,30,24,87,69,98,85,20,32,27,72,70,52,12,60,62,66,35,64,95,22,74,74,44,45,21,77,92,33,72,32,18,5,69,4,47,27,6,39,68,16,25,68,51,25,94,15,75,5,73,82,21,58,20,59,24,91,33,29,20,12,99,71,35,34,87,87,3,12,62,0,62,48,90,33,73,34,51,1,41,23,65,60,29,96,89,7,70,74,6,88,94,57,77,78,59,38,87,58,56,76,85,15,5,3,27,24,51,58,69,3,74,41,54,39,15,86,26,4,7,40,62,64,40,25,2,40,71,74,68,86,14,38,91,2,48,96,14,76,89,11,18,56,3,61,7,83,52,37,81,87,59,12,10,9,25,84,4,82,0,95,20,58,76,83,95,40,87,50,35,93,29,72,18,78,52,30,40,19,6,0,77,38,79
Canada,67,78,23,69,19,98,63,15,96,68,89,97,8,29,50,17,55,0,37,33,25,66,18,57,10,82,27,35,99,65,98,46,31,97,67,78,30,84,36,0,19,35,43,13,97,20,98,31,74,1,82,4,90,75,9,68,73,77,96,9,43,68,20,17,10,33,38,11,86,71,43,67,59,67,46,1,71,76,57,18,58,34,72,62,59,95,83,95,78,92,58,36,44,26,83,40,28,16,43,79,70,27,96,55,92,89,6,87,13,58,51,13,2,12,77,98,81,10,71,99,78,89,67,83,5,33,60,59,42,19,32,88,72,67,4,32,2,75,43,52,92,29,20,36,74,90,19,70,71,91,47,37,64,1,16,88,75,79,7,89,16,83,74,38,90,26,35,27,20,49,36,0,15,88,73,1,42,53,85,20,31,50,70,87,93,2,93,98,20,60,57,97,75,25,74,85,46,40,19,45,76,44,14,95,36,99,40,18,47,5,31,8,91,23,51,99,64,35,48,69,98,22,65,13,66,99,98,38,70,72,89,60,80,64,80,95,51,4,59,95,54
Cayman Is.,18,37,68,83,9,23,19,47,71,71,14,47,1,77,48,74,35,83,85,78,12,45,7,79,28,0,46,28,7,35,30,87,66,22,83,45,7,28,24,63,0,30,43,85,39,21,53,60,79,65,85,79,55,36,75,93,97,15,90,74,90,68,50,76,56,33,38,48,55,78,86,77,96,50,42,80,35,81,49,25,13,77,94,94,72,3,28,83,72,61,83,53,48,28,93,54,11,75,49,37,56,54,56,27,13,2,94,99,44,32,0,33,49,9,12,50,7,72,36,35,41,67,95,15,3,10,85,73,97,66,43,36,82,85,64,0,1,43,91,97,68,50,32,29,65,61,74,63,1,36,53,51,94,0,22,67,90,48,69,54,4,10,8,71,68,21,64,27,73,6,82,10,67,42,56,35,74,66,64,13,8,76,22,92,53,58,98,51,79,18,43,49,47,20,78,18,64,23,52,90,18,0,63,68,18,94,30,59,19,96,2,79,64,8,5,6,99,29,34,71,42,66,14,36,40,19,70,68,12,5,42,70,89,57,74,59,5,62,66,92,88
Central African Rep.,25,48,11,17,98,1,34,22,93,97,68,55,30,50,52,85,27,90,13,56,32,78,96,35,72,74,95,48,41,87,68,31,8,89,50,77,18,76,8,52,9,0,81,68,30,20,15,86,43,82,71,57,94,23,67,89,84,87,43,33,94,75,92,87,44,10,43,70,50,7,16,43,44,14,90,43,6,0,0,19,72,82,25,17,13,86,77,65,72,35,89,62,74,52,89,80,95,2,45,68,25,37,75,18,85,28,10,13,10,49,21,68,2,17,35,2,52,25,95,77,86,34,93,71,35,28,69,99,98,42,40,19,60,12,36,59,7,51,93,26,21,71,86,74,54,41,49,40,15,67,92,80,47,81,92,44,66,80,9,36,23,94,25,25,36,95,32,8,33,3,83,52,99,31,15,77,31,57,52,1,53,65,68,73,30,67,92,38,95,45,82,91,7,14,53,60,63,16,7,46,63,33,35,87,49,82,5,52,29,57,43,76,95,38,90,41,2,19,44,9,32,81,88,12,23,97,88,13,33,82,7,28,23,91,37,10,98,79,80,36,66
Chad,99,69,50,88,16,79,2,75,62,77,45,33,4,50,53,10,84,62,29,49,62,50,27,47,90,7,20,24,21,13,87,17,24,64,72,50,32,88,83,18,36,90,0,78,8,35,88,26,6,57,71,29,25,2,59,11,32,74,4,52,6,67,15,5,53,76,21,81,87,19,24,36,2,53,59,2,26,26,65,91,75,99,34,26,26,66,4,7,60,9,84,34,70,77,67,22,34,48,43,18,13,55,59,26,51,71,40,35,75,1,80,30,72,59,7,54,63,8,50,65,20,46,76,30,15,60,99,80,61,59,41,25,48,68,93,31,89,55,81,61,39,49,11,46,42,7,59,57,36,92,43,43,60,84,52,96,60,1,19,98,19,23,99,89,79,52,11,70,66,89,4,50,70,85,89,75,23,55,58,10,23,85,75,28,37,57,75,45,22,95,8,20,76,37,99,78,6,93,5,54,49,15,58,6,81,41,76,90,56,90,18,61,62,75,68,76,87,33,86,75,15,89,19,16,41,5,19,16,33,66,67,0,90,44,9,81,45,90,29,67,28
Chile,85,66,38,74,57,83,23,77,3,11,4,9,88,22,46,72,47,8,6,38,50,23,76,17,13,36,60,35,91,45,42,94,40,54,10,85,51,83,64,82,82,60,78,0,29,75,1,15,7,46,12,78,62,67,18,72,43,79,78,11,83,44,31,57,47,52,27,87,7,21,1,51,92,55,48,13,0,49,45,45,54,54,42,56,83,77,85,15,28,21,90,13,32,48,99,61,66,24,67,40,90,57,70,64,86,89,57,90,99,82,8,46,8,10,3,71,1,15,84,58,93,80,79,81,9,23,25,15,34,43,38,51,64,4,79,9,87,58,8,10,10,7,7,82,72,39,39,61,40,3,15,29,83,57,67,31,1,37,60,10,32,61,28,26,70,97,74,83,99,10,51,46,53,42,14,8,60,37,81,36,73,1,15,80,74,38,39,14,19,7,34,64,72,92,63,20,7,77,15,91,8,65,37,55,81,61,77,16,3,21,57,4,83,79,90,32,43,64,16,91,24,92,73,13,28,22,88,71,39,16,33,94,38,34,0,35,63,28,9,23,44
China,35,60,15,25,12,84,49,30,30,33,67,15,29,41,55,51,94,69,48,38,46,82,4,58,21,17,69,8,4,37,23,90,65,28,79,51,2,76,14,4,96,14,68,91,0,42,15,82,23,51,24,9,71,34,86,35,28,97,44,28,44,97,27,83,24,51,14,11,11,10,44,12,51,86,15,45,92,37,41,16,35,61,29,48,65,60,96,94,81,49,2,92,18,95,27,0,75,16,58,50,1,56,77,57,85,1,64,49,67,47,65,55,75,31,14,86,94,82,66,1,73,57,24,71,0,36,62,3,7,67,3,35,46,98,5,96,74,72,79,18,10,44,27,0,76,50,84,18,69,61,3,35,78,76,62,5,37,18,77,65,71,89,8,59,16,25,78,98,73,42,33,23,21,82,54,7,66,84,66,78,47,35,94,49,30,95,55,31,26,74,97,63,51,76,28,40,86,12,31,95,69,17,28,71,8,9,14,0,90,70,54,33,36,64,75,30,7,26,54,81,12,28,37,83,72,41,29,81,29,28,91,69,11,98,99,17,29,68,60,42,63
Colombia,54,19,47,33,72,54,85,35,82,13,57,0,57,89,76,61,34,86,54,29,32,6,48,20,16,42,58,39,61,37,34,95,82,77,56,40,39,26,84,84,49,10,76,21,95,0,98,45,7,4,20,36,5,18,90,71,88,92,18,81,17,72,68,11,0,10,11,67,54,91,22,71,29,55,47,7,22,15,17,81,66,84,31,54,11,38,7,18,93,83,73,97,48,30,53,8,20,72,13,54,78,40,50,26,47,97,71,42,94,7,94,34,40,34,27,17,12,55,29,91,80,32,63,42,64,49,6,14,6,4,30,89,97,37,55,56,7,23,2,54,13,86,46,73,45,39,58,59,70,45,87,46,99,12,83,50,5,61,57,19,28,16,77,39,80,74,25,41,86,57,90,60,63,55,57,51,48,96,15,86,1,11,43,7,7,17,24,62,66,96,32,76,53,40,15,31,19,30,78,29,30,29,17,8,99,28,25,75,57,77,90,56,46,88,12,96,56,66,53,33,39,19,43,39,19,15,46,17,91,27,52,58,66,5,73,92,88,34,78,41,78
Comoros,0,32,59,33,28,57,60,13,18,57,94,61,84,32,19,5,13,69,10,78,61,37,52,94,73,7,37,99,40,31,79,74,79,86,84,98,60,40,91,65,75,63,55,46,72,56,0,45,30,1,68,96,60,61,37,64,6,76,52,23,68,88,50,1,5,90,12,47,54,50,84,50,4,27,39,11,66,47,59,2,37,31,90,10,91,97,36,37,48,36,78,15,95,50,76,97,75,58,51,35,22,67,61,55,83,49,30,50,46,82,28,59,27,0,58,72,95,57,81,10,16,79,83,2,69,74,69,50,20,28,11,39,51,89,52,88,60,76,50,91,16,62,1,92,29,66,4,3,93,8,52,75,67,47,73,22,25,12,29,24,63,32,59,66,76,22,8,2,39,45,59,29,31,54,92,0,90,79,17,95,15,16,38,85,93,78,32,58,39,16,95,4,40,72,7,98,62,54,71,66,81,79,45,20,47,5,23,44,25,2,81,51,7,95,70,26,11,88,53,53,73,84,29,88,45,6,31,44,38,75,75,65,8,81,58,80,47,31,80,41,72
